source,region,country,year,metric_type,value
Energy Institute,Non-OECD,,1997,CO₂ emissions from energy (MtCO₂),10072.15352
Energy Institute,Non-OECD,,1998,CO₂ emissions from energy (MtCO₂),10100.62499
Energy Institute,Non-OECD,,1999,CO₂ emissions from energy (MtCO₂),10284.44383
Energy Institute,Non-OECD,,2000,CO₂ emissions from energy (MtCO₂),10589.48677
Energy Institute,Non-OECD,,2001,CO₂ emissions from energy (MtCO₂),10954.80853
Energy Institute,Non-OECD,,2002,CO₂ emissions from energy (MtCO₂),11415.881
Energy Institute,Non-OECD,,2003,CO₂ emissions from energy (MtCO₂),12369.10436
Energy Institute,Non-OECD,,2004,CO₂ emissions from energy (MtCO₂),13571.76283
Energy Institute,Non-OECD,,2005,CO₂ emissions from energy (MtCO₂),14539.64456
Energy Institute,Non-OECD,,2006,CO₂ emissions from energy (MtCO₂),15436.26271
Energy Institute,Non-OECD,,2007,CO₂ emissions from energy (MtCO₂),16350.29602
Energy Institute,Non-OECD,,2008,CO₂ emissions from energy (MtCO₂),16854.25792
Energy Institute,Non-OECD,,2009,CO₂ emissions from energy (MtCO₂),17122.09272
Energy Institute,Non-OECD,,2010,CO₂ emissions from energy (MtCO₂),17995.60419
Energy Institute,Non-OECD,,2011,CO₂ emissions from energy (MtCO₂),19020.87417
Energy Institute,Non-OECD,,2012,CO₂ emissions from energy (MtCO₂),19549.2304
Energy Institute,Non-OECD,,2013,CO₂ emissions from energy (MtCO₂),19907.95294
Energy Institute,Non-OECD,,2014,CO₂ emissions from energy (MtCO₂),20232.29209
Energy Institute,Non-OECD,,2015,CO₂ emissions from energy (MtCO₂),20306.54684
Energy Institute,Non-OECD,,2016,CO₂ emissions from energy (MtCO₂),20389.20605
Energy Institute,Non-OECD,,2017,CO₂ emissions from energy (MtCO₂),20908.08822
Energy Institute,Non-OECD,,2018,CO₂ emissions from energy (MtCO₂),21526.10717
Energy Institute,Non-OECD,,2019,CO₂ emissions from energy (MtCO₂),21946.46949
Energy Institute,Non-OECD,,2020,CO₂ emissions from energy (MtCO₂),21465.46996
