source,technology,region,country,year,metric_type,value
Energy Institute,Biofuels,Asia Pacific,India,2006,Primary energy consumption (EJ),0.004256741
Energy Institute,Biofuels,Asia Pacific,Thailand,2007,Primary energy consumption (EJ),0.006007553
Energy Institute,Biofuels,Asia Pacific,India,2007,Primary energy consumption (EJ),0.004256741
Energy Institute,Biofuels,Asia Pacific,Australia,2007,Primary energy consumption (EJ),0.003477141
Energy Institute,Biofuels,Asia Pacific,China,2007,Primary energy consumption (EJ),0.048045758
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2007,Primary energy consumption (EJ),0.00701352
Energy Institute,Biofuels,Asia Pacific,South Korea,2007,Primary energy consumption (EJ),0.004006768
Energy Institute,Biofuels,Asia Pacific,Indonesia,2007,Primary energy consumption (EJ),0.000738221
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2008,Primary energy consumption (EJ),0.006458695
Energy Institute,Biofuels,Asia Pacific,South Korea,2008,Primary energy consumption (EJ),0.007435757
Energy Institute,Biofuels,Asia Pacific,India,2008,Primary energy consumption (EJ),0.005959437
Energy Institute,Biofuels,Asia Pacific,China,2008,Primary energy consumption (EJ),0.065444712
Energy Institute,Biofuels,Asia Pacific,Indonesia,2008,Primary energy consumption (EJ),0.000795614
Energy Institute,Biofuels,Asia Pacific,Australia,2008,Primary energy consumption (EJ),0.004605212
Energy Institute,Biofuels,Asia Pacific,Thailand,2008,Primary energy consumption (EJ),0.020546549
Energy Institute,Biofuels,Asia Pacific,South Korea,2009,Primary energy consumption (EJ),0.010642845
Energy Institute,Biofuels,Asia Pacific,Thailand,2009,Primary energy consumption (EJ),0.027232798
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2009,Primary energy consumption (EJ),0.009772793
Energy Institute,Biofuels,Asia Pacific,Indonesia,2009,Primary energy consumption (EJ),0.003943937
Energy Institute,Biofuels,Asia Pacific,India,2009,Primary energy consumption (EJ),0.003115879
Energy Institute,Biofuels,Asia Pacific,China,2009,Primary energy consumption (EJ),0.071599003
Energy Institute,Biofuels,Asia Pacific,Australia,2009,Primary energy consumption (EJ),0.006382279
Energy Institute,Biofuels,Asia Pacific,China,2010,Primary energy consumption (EJ),0.071267586
Energy Institute,Biofuels,Asia Pacific,Indonesia,2010,Primary energy consumption (EJ),0.007340485
Energy Institute,Biofuels,Asia Pacific,India,2010,Primary energy consumption (EJ),0.005376309
Energy Institute,Biofuels,Asia Pacific,Australia,2010,Primary energy consumption (EJ),0.009276099
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2010,Primary energy consumption (EJ),0.018430207
Energy Institute,Biofuels,Asia Pacific,South Korea,2010,Primary energy consumption (EJ),0.014938503
Energy Institute,Biofuels,Asia Pacific,Thailand,2010,Primary energy consumption (EJ),0.028111904
Energy Institute,Biofuels,Asia Pacific,Other Asia Pacific,2011,Primary energy consumption (EJ),0.020801439
Energy Institute,Biofuels,Asia Pacific,India,2011,Primary energy consumption (EJ),0.01148817
Energy Institute,Biofuels,Asia Pacific,Indonesia,2011,Primary energy consumption (EJ),0.011817194
