source,group_technology,technology,project_type,region,country,period,year,metric_type,value_category,country_value,regional_value
IRENA,Wind,Onshore wind,,,China,2010-2015,2013,Total installed cost (USD/kW),Weighted average,1553.914959,
IRENA,Wind,Onshore wind,,,China,2010-2015,2014,Total installed cost (USD/kW),Weighted average,1582.428416,
IRENA,Wind,Onshore wind,,,China,2010-2015,2015,Total installed cost (USD/kW),Weighted average,1536.306753,
IRENA,Wind,Onshore wind,,,China,2016-2023,2016,Total installed cost (USD/kW),Weighted average,1530.851115,
IRENA,Wind,Onshore wind,,,China,2016-2023,2017,Total installed cost (USD/kW),Weighted average,1450.479407,
IRENA,Wind,Onshore wind,,,China,2016-2023,2018,Total installed cost (USD/kW),Weighted average,1502.898668,
IRENA,Wind,Onshore wind,,,China,2016-2023,2019,Total installed cost (USD/kW),Weighted average,1421.821025,
IRENA,Wind,Onshore wind,,,China,2016-2023,2020,Total installed cost (USD/kW),Weighted average,1453.004374,
IRENA,Wind,Onshore wind,,,China,2016-2023,2021,Total installed cost (USD/kW),Weighted average,1284.10743,
IRENA,Wind,Onshore wind,,,China,2016-2023,2022,Total installed cost (USD/kW),Weighted average,1143.459579,
IRENA,Wind,Onshore wind,,,China,2016-2023,2023,Total installed cost (USD/kW),Weighted average,986.2998276,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1984,Total installed cost (USD/kW),Weighted average,4492.35911,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1985,Total installed cost (USD/kW),Weighted average,4473.445214,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1986,Total installed cost (USD/kW),Weighted average,4316.704389,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1987,Total installed cost (USD/kW),Weighted average,4081.248793,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1988,Total installed cost (USD/kW),Weighted average,3668.587204,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1989,Total installed cost (USD/kW),Weighted average,3531.492757,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1990,Total installed cost (USD/kW),Weighted average,3816.079791,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1991,Total installed cost (USD/kW),Weighted average,3777.436769,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1992,Total installed cost (USD/kW),Weighted average,3561.165197,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1993,Total installed cost (USD/kW),Weighted average,3463.326827,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1995,Total installed cost (USD/kW),Weighted average,2991.276803,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1996,Total installed cost (USD/kW),Weighted average,2893.438568,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1997,Total installed cost (USD/kW),Weighted average,2815.33198,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1998,Total installed cost (USD/kW),Weighted average,2776.645644,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,1999,Total installed cost (USD/kW),Weighted average,2619.569015,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2000,Total installed cost (USD/kW),Weighted average,2482.224305,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2001,Total installed cost (USD/kW),Weighted average,2364.654287,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2002,Total installed cost (USD/kW),Weighted average,2030.035603,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2003,Total installed cost (USD/kW),Weighted average,1971.617483,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2004,Total installed cost (USD/kW),Weighted average,1784.866795,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2005,Total installed cost (USD/kW),Weighted average,1971.394277,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2006,Total installed cost (USD/kW),Weighted average,2250.804468,
IRENA,Wind,Onshore wind,,,Denmark,1984-2009,2008,Total installed cost (USD/kW),Weighted average,2902.761671,
IRENA,Wind,Onshore wind,,,Denmark,2010-2015,2010,Total installed cost (USD/kW),Weighted average,2763.296405,
IRENA,Wind,Onshore wind,,,Denmark,2010-2015,2011,Total installed cost (USD/kW),Weighted average,2972.0788,
IRENA,Wind,Onshore wind,,,Denmark,2010-2015,2012,Total installed cost (USD/kW),Weighted average,2394.856884,
IRENA,Wind,Onshore wind,,,Denmark,2010-2015,2013,Total installed cost (USD/kW),Weighted average,2607.323675,
IRENA,Wind,Onshore wind,,,Denmark,2010-2015,2015,Total installed cost (USD/kW),Weighted average,2210.637124,
IRENA,Wind,Onshore wind,,,Denmark,2016-2023,2016,Total installed cost (USD/kW),Weighted average,2210.637124,
IRENA,Wind,Onshore wind,,,Denmark,2016-2023,2017,Total installed cost (USD/kW),Weighted average,2036.852102,
IRENA,Wind,Onshore wind,,,Denmark,2016-2023,2018,Total installed cost (USD/kW),Weighted average,2213.135833,
IRENA,Wind,Onshore wind,,,Denmark,2016-2023,2019,Total installed cost (USD/kW),Weighted average,2210.051013,
IRENA,Wind,Onshore wind,,,Denmark,2016-2023,2020,Total installed cost (USD/kW),Weighted average,2210.051013,
IRENA,Wind,Onshore wind,,,France,1984-2009,1991,Total installed cost (USD/kW),Weighted average,3966.308607,
IRENA,Wind,Onshore wind,,,France,1984-2009,1993,Total installed cost (USD/kW),Weighted average,3636.493168,
IRENA,Wind,Onshore wind,,,France,1984-2009,1996,Total installed cost (USD/kW),Weighted average,3038.110496,
IRENA,Wind,Onshore wind,,,France,1984-2009,1997,Total installed cost (USD/kW),Weighted average,2956.098579,
IRENA,Wind,Onshore wind,,,France,1984-2009,1998,Total installed cost (USD/kW),Weighted average,2915.477926,
IRENA,Wind,Onshore wind,,,France,1984-2009,1999,Total installed cost (USD/kW),Weighted average,2750.547466,
IRENA,Wind,Onshore wind,,,France,1984-2009,2000,Total installed cost (USD/kW),Weighted average,2084.18131,
IRENA,Wind,Onshore wind,,,France,1984-2009,2001,Total installed cost (USD/kW),Weighted average,2482.887001,
IRENA,Wind,Onshore wind,,,France,1984-2009,2002,Total installed cost (USD/kW),Weighted average,2131.537383,
IRENA,Wind,Onshore wind,,,France,1984-2009,2003,Total installed cost (USD/kW),Weighted average,2064.657791,
IRENA,Wind,Onshore wind,,,France,1984-2009,2004,Total installed cost (USD/kW),Weighted average,2275.325942,
IRENA,Wind,Onshore wind,,,France,1984-2009,2005,Total installed cost (USD/kW),Weighted average,2140.545908,
IRENA,Wind,Onshore wind,,,France,1984-2009,2006,Total installed cost (USD/kW),Weighted average,2275.828154,
IRENA,Wind,Onshore wind,,,France,1984-2009,2007,Total installed cost (USD/kW),Weighted average,2075.814078,
IRENA,Wind,Onshore wind,,,France,1984-2009,2008,Total installed cost (USD/kW),Weighted average,3123.744739,
IRENA,Wind,Onshore wind,,,France,1984-2009,2009,Total installed cost (USD/kW),Weighted average,2758.209038,
IRENA,Wind,Onshore wind,,,France,2010-2015,2010,Total installed cost (USD/kW),Weighted average,2881.232783,
IRENA,Wind,Onshore wind,,,France,2010-2015,2011,Total installed cost (USD/kW),Weighted average,2583.237879,
IRENA,Wind,Onshore wind,,,France,2010-2015,2012,Total installed cost (USD/kW),Weighted average,2344.055993,
IRENA,Wind,Onshore wind,,,France,2010-2015,2013,Total installed cost (USD/kW),Weighted average,2209.232129,
IRENA,Wind,Onshore wind,,,France,2010-2015,2014,Total installed cost (USD/kW),Weighted average,2087.412147,
IRENA,Wind,Onshore wind,,,France,2010-2015,2015,Total installed cost (USD/kW),Weighted average,2081.952719,
IRENA,Wind,Onshore wind,,,France,2016-2023,2016,Total installed cost (USD/kW),Weighted average,2060.002245,
IRENA,Wind,Onshore wind,,,France,2016-2023,2017,Total installed cost (USD/kW),Weighted average,2346.604492,
IRENA,Wind,Onshore wind,,,France,2016-2023,2018,Total installed cost (USD/kW),Weighted average,2266.414075,
IRENA,Wind,Onshore wind,,,France,2016-2023,2019,Total installed cost (USD/kW),Weighted average,2052.759542,
IRENA,Wind,Onshore wind,,,France,2016-2023,2020,Total installed cost (USD/kW),Weighted average,1781.17641,
IRENA,Wind,Onshore wind,,,France,2016-2023,2021,Total installed cost (USD/kW),Weighted average,1973.144479,
IRENA,Wind,Onshore wind,,,France,2016-2023,2022,Total installed cost (USD/kW),Weighted average,1988.314308,
IRENA,Wind,Onshore wind,,,France,2016-2023,2023,Total installed cost (USD/kW),Weighted average,1745.808753,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1984,Total installed cost (USD/kW),Weighted average,4492.35911,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1990,Total installed cost (USD/kW),Weighted average,4006.88378,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1991,Total installed cost (USD/kW),Weighted average,3966.308607,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1992,Total installed cost (USD/kW),Weighted average,3739.223457,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1993,Total installed cost (USD/kW),Weighted average,3636.493168,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1994,Total installed cost (USD/kW),Weighted average,3367.971274,
IRENA,Wind,Onshore wind,,,Germany,1984-2009,1995,Total installed cost (USD/kW),Weighted average,2844.157428,
